Date,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,00:00:00
01/08/2024,22.5,26,18.6,21.9,20.6,22.9,22.4,25.5,33.2,31.7,39.5,36.2,38.3,48.5,52.9,55.2,54.2,54.3,54.6,54.4,54.5,55.5,55.2,60,59.8,60,58.6,58.2,58.9,57.6,53.8,49.5,22.4,19.4,18.2,17.9,17.3,17.6,17.2,17.8,17,17.2,17.1,17.8,17.7,17.1,17.1,17.3
02/08/2024,17.3,17.3,17.1,17.6,16.7,16.9,18.6,20.2,22.7,24.5,28.5,27.9,28.3,31.5,34.1,34,33.8,34.3,34.4,35.5,34.3,32.6,44.6,63.4,50.5,42.6,39.6,40.4,39.5,38.1,36.7,37.7,21.2,19.1,22,30.9,18.7,18.5,28.2,21.9,18.5,22.4,25.3,19.8,18.3,29.3,19,18.5
03/08/2024,22.7,24.1,18.4,18.7,27.8,19.3,18.5,21.2,26.1,18.9,19.5,24.8,21.9,18.5,18.7,28.8,19.8,18.2,20.8,29.7,18.4,18.5,24.9,25.5,18.9,19,27.9,21.8,18.4,18.8,30.7,18.5,18.1,22.3,27,18.7,18.5,20.6,27.4,18.8,18.2,18.4,27.4,20.1,18.4,19.2,24,22.7
04/08/2024,18.5,15.4,15.4,16.1,15.1,15.6,15.1,15.8,15.5,15.9,17,15.5,15.6,15.1,15.7,29.7,22.7,18.2,18.4,27.6,19.5,18.9,18.2,24.9,26.7,18.2,18.7,21.5,29.4,18.9,18.9,18.9,31.4,20.4,18.6,19.1,24.6,24.5,18.8,18.3,20.6,26.5,18.9,18.6,18.7,27.4,19,19
05/08/2024,18.4,27.6,19.8,20.3,26.2,33.2,23.3,27.1,33.6,25.8,30,40.8,34.5,38.8,49.1,43.1,41,48.2,42.3,40.3,48.8,44.3,43.4,53.2,53.6,39.7,43.5,52.7,51.9,41.4,37.2,43.1,30.7,21.8,21.3,31,18.9,18.5,20.2,30.5,18.5,18.4,18.9,29.7,18.9,18.8,18.7,28.4
06/08/2024,20,18.9,18.5,26.7,21.7,18.8,20.6,29.2,29.5,26,40.4,40.3,34.5,46.5,50.6,41.7,48.4,51.9,45.5,43.6,51.9,48,41.7,51.4,51.9,41.2,50.1,56,53,38.8,48.5,48,30.1,23.7,27.8,31.7,20.4,20.1,23.7,27.2,20.1,20.1,20.7,30,20.7,20.3,20.1,29.1
07/08/2024,20.7,19.9,20.4,25.9,24,21.1,19.4,20.5,22.3,25.6,38.5,36.2,34.4,46,49.7,41.6,51.5,44.9,44.8,56.2,54,42,55,56.6,42.2,51.6,55.3,55.2,40.9,50.2,46,30.9,25.3,32.7,21.3,21,20.3,27.9,22.4,20.6,20.2,26,24.1,20.4,20.4,23.5,26.9,19.9
08/08/2024,20.5,20.3,29.7,21,20,20.1,28,26.4,25.7,30.6,41.5,29.9,34.7,48.1,44.2,41.4,52,48,42.5,52.4,50.9,42.8,49.4,51.7,40.4,45.9,49.6,41.1,43,47.9,39.6,38.1,35,22.6,21,20.6,30.1,20.2,20.3,20.2,28,22.8,20.4,20.7,26.5,24.2,20.2,19.9
09/08/2024,24.7,25.9,19.8,21.5,21.7,29.2,21.4,23.9,27.3,36.7,31.6,29,41,34.6,35.3,45,39.3,33.6,42.8,42.5,33.8,39.3,44.8,31.8,30.3,43.2,37.2,27.4,33.2,39,31.2,22.9,28.1,26.4,20.6,20.1,24.4,28.5,20.7,20.3,25.2,24,19.9,20.3,24,27.4,20.7,20.5
10/08/2024,20.7,29.1,20,20.7,20.6,27.5,22.2,20.2,20.4,25.1,26.8,20.7,20.2,20.6,29.1,20.6,20.1,20.3,29.1,23.2,20.2,19.7,26.5,27.4,20.6,19.8,22.5,32.4,20.4,19.9,20,32.7,21.4,20,19.8,32.4,22.1,19.8,19.9,27.8,23,20.3,20,25.9,24.4,20.4,19.9,23.7
11/08/2024,26.4,19.8,19.9,22.5,27.7,20.2,20.2,20.1,29.7,20.4,21.1,20.1,29.4,20.2,20.6,20.1,31.6,21.1,19.6,20.1,29.6,24.6,20,21,28.9,25.6,20.5,20.5,30.9,25.2,21.3,20.8,34.2,20.7,20.3,21,33.8,21.6,20.7,20.3,32.8,21.9,19.9,21.1,32.9,20.6,19.9,20.2
12/08/2024,32.1,22.1,21.4,21.4,36.6,34.7,23.6,35.5,37.8,27,37,43.1,34.3,48,52.8,54.5,43,53.5,53.1,55.1,53.1,54.3,54,54.6,55.4,54.2,53.4,53.9,52.7,52.4,47.8,44.6,35,22.7,22.2,27.4,31.2,20.1,19.9,26.6,27.3,19.7,19.8,27.9,24.5,19.6,19.6,27.3
13/08/2024,22.9,19.7,20,26.9,23.3,20,21,29.1,31.2,27,40.3,35,34.7,50.1,46.8,44.1,51.8,47.9,42.3,52.3,51.3,41.9,53.1,56.2,43.1,50,55.1,55.6,53.4,45,40.6,44.2,32,22.4,23.4,33.6,20.5,20.2,19.9,28.3,22,19.7,19.5,27.7,22.3,19.2,19.4,24.4
