Date,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,00:00:00
30/01/2025,1.625,1.625,1.625,1.5,1.625,1.75,1.625,1.75,1.375,2,1.625,1.75,1.625,2.25,7.25,20.125,35,48.5,61.125,70.875,77.875,81.875,82.625,80.125,74,68.75,55.625,44,23.125,7.5,2.875,1.375,2,1.75,1.625,1.625,1.625,1.75,1.625,1.625,1.625,1.625,1.625,1.75,1.625,1.625,1.625,1.875
31/01/2025,1.625,1.125,2.125,1.75,1.625,1.75,1.625,1.75,1.625,1.625,1.625,1.5,1.75,1.75,5.875,19.625,27,38.125,55.5,71.875,75,71.625,62,61.75,34.5,42.375,34,19.75,10,3.625,2.375,1.75,1.625,1.625,1.25,1.875,1.75,1.625,1.625,1.375,1.625,1.5,1.625,1.625,1.625,1.625,1.625,0.5
01/02/2025,2.625,1.5,1.5,1.5,1.5,1.375,1.875,1.25,1.875,1.375,1.625,1,2.25,1.5,2,2.25,2.5,3.875,4.25,5.25,4.125,8.5,10.5,14.125,8.125,20.25,10,3.75,2.625,2.125,1.375,1.875,1.625,1.75,1.625,1.625,1.625,1,2.375,1.625,1.375,2,1.625,1.375,2,1.625,1.625,1.625
02/02/2025,1.625,1.625,1.625,1.625,1.5,1,2.25,1.625,1.625,1.625,1.625,1.75,1.5,2.375,7.875,16.75,21,49.875,63.375,73.625,80.625,84.5,85.375,83.5,77.5,68.5,56.375,43.125,25.75,20.5,5.25,1.875,1.75,1.625,1.625,2,1.75,1.625,1.625,1.75,1.375,1.375,1.75,1.625,1.625,1.75,1.375,1.75
03/02/2025,1.75,1.5,1.625,1.75,1.5,1.75,1.625,1.75,1.625,1.625,1.75,1.625,1.625,2.25,3.25,8.125,9.75,18.125,16.375,19.75,14.625,28.75,25,17.25,24.25,40,34.125,45.875,29.625,13,3.125,1.75,1.75,1.625,1.625,1.625,1.625,1.625,1.75,1.625,1.625,1.75,1.625,1.625,1.75,1.625,1.5,1.625
04/02/2025,2,1.625,1.625,1.625,1.75,1.625,1.625,1.75,1.625,1.625,1.625,1.75,1.75,2.125,4.875,12.5,20.875,28.625,31.875,38.5,45.875,47.875,39.375,27.25,25.875,13,10.625,8.375,7.125,2.625,2,1.5,1.625,1.625,1.625,1.625,1.625,1.75,1.625,1.625,1.625,1.625,1.625,1.625,1.75,1.5,1.875,1.625
05/02/2025,1.375,2,1.625,1.625,1.75,1.625,1.625,1.75,1.375,2,1.625,1.625,2,6.875,15.625,24.75,26,50,52,47.875,55.25,62.875,56.5,77.75,47.75,31.625,24.625,29.625,20,12.875,3.625,1.75,1.625,1.75,1.625,1.625,1.625,1.5,1.625,1.875,1.625,1.375,1.875,1.375,1.875,1.375,1.5,1.875
06/02/2025,1.375,1.875,1.625,1.625,1.75,1.5,1.875,1.625,1.625,1.75,1.625,1.625,1.625,4.125,14.125,29.625,44.25,58.375,70.5,79.75,86.125,89.75,90.5,88,80.375,75.25,55,46.625,32,16.25,4.5,2.5,1.625,1.375,1.625,1.625,2,0.75,2.5,1.75,1.75,1.375,2,1.625,1.75,1.375,1.875,1.625
07/02/2025,1.625,1.625,1.75,1.375,1.875,1.125,2.25,1.625,1.75,1.75,1.625,1.5,1.375,2.625,4.625,8.25,12.125,12.625,14.125,18.75,18,15.375,12,5,4.375,5.375,6.75,4.25,2.875,3,1.625,1.375,1.75,1.625,1.625,1.625,1.5,1.75,1.375,1.75,2,1.375,2,1.625,1.75,1.75,1.625,1.625
08/02/2025,1.125,2.25,1.625,1.5,2,1.625,1.75,1.625,1.25,2,2,1.625,1.875,1.375,2.375,2.125,2.375,2.125,2.375,3.875,11.75,18,9.75,7.125,9.75,6.125,7.5,5,4.875,4,2.375,2.25,1.75,1.625,1.375,1.375,1.625,1.625,1.75,1.375,1.875,1.125,2.25,1.375,2,1.625,1.625,1.625
09/02/2025,1.75,1.625,1.625,1.75,1.625,1.875,1.625,1.375,2,1.75,1.75,1.625,1.875,4.25,20.375,18.25,35.875,31.25,59.5,55.75,75.125,62.25,58.125,33,30.5,18.375,15.125,17.125,17,6.375,3.25,1.75,1.75,1.625,1.25,2.25,1.75,1.625,1.625,1.625,1.625,1.625,1.375,1.75,1.875,1.75,1.625,1.875
10/02/2025,1.625,1.75,1.625,1.75,1.625,1.75,1.75,1.75,1.625,1.75,1.625,1.75,1.75,2.5,5.25,4.375,5,3.875,4.625,6.375,5.5,5.25,4.625,8.125,7.625,11.5,9.125,10.125,9.375,17.25,3.5,1.625,1.625,1.5,1.625,1.625,1.375,1.625,0.75,2.375,0.75,2.5,1.375,2,1.75,1.625,1.5,1.25
11/02/2025,2.5,1.625,1.75,1.75,1.75,1.75,1.625,1.75,1.75,1.5,1.375,1.625,1.375,2.125,1.5,4.125,7.75,13.375,17.625,24,20.125,6.875,21.75,30.875,22.75,20.375,18.375,10.875,4.5,3.75,2,2,1.625,1.625,1.75,1.625,1.5,1.625,1.5,1.375,1.75,1.625,1.75,1.375,2.125,1.75,1.625,1.5
12/02/2025,1.375,0.875,1.75,1.625,1.375,2,1.75,1.375,2,1.375,1.625,1.375,1.75,2,2.75,4.625,8.375,14,19.125,23.875,25,20.625,28.375,25.25,11.125,9.125,18.375,8.75,4.875,3.875,1.875,1.875,1.75,1.375,1.625,1.625,1.875,1.625,1.75,1.75,1.625,1.75,1.625,1.75,1.75,1.625,1.75,1.5
13/02/2025,1.75,1.625,1.75,1.875,1.625,1.75,1.625,1.75,1.625,1.625,1.625,1.375,1.5,1.75,3,5.875,9.75,11.125,18.375,28.125,34.375,41.625,39.75,38.25,33.25,39.625,40.75,37.75,22.375,8.25,6,2.25,0.75,1.75,1.5,1.5,1.25,1.75,1.25,1.75,1.625,1.875,1.375,1.375,1.625,1.5,1.5,1.5
14/02/2025,1.625,1.5,1.375,1.625,1.625,1.375,1.625,1.5,1,2,1.625,1.625,1.375,3.75,7.375,14.375,19.875,23.5,44.625,53.5,92.5,63.25,75.25,62.75,59.5,86.5,41.75,72,15.5,8.125,3.375,1.75,1.625,1.5,1.375,1.5,1,2,1.5,1.5,1.25,2,1.625,1.875,1.5,1.75,0.75,2.5
15/02/2025,1.375,2,1.625,1.75,1.625,1.625,1.625,1.75,1.625,1.625,1.75,1.75,1.5,2.875,6.875,10.625,15.875,29.375,30.75,30,30.625,29.875,44,40.75,33.375,29.625,33.125,24.375,22.125,12.25,7.125,2.375,1.5,1.625,1.5,1.5,1.5,1.375,1.5,1.625,1.5,1.625,1.75,1.5,1.25,1.875,1.625,1.5
16/02/2025,1.5,1.5,1.375,1.625,1.625,1.375,1.625,1.125,1.75,1.625,1.875,1.5,1.875,4.125,6.375,9.625,12.375,18.125,20.875,18.5,18.625,17.5,18.125,18.875,22,32.75,30.5,36.75,29.125,14.375,8.625,2.875,1.625,1.5,1.375,1.75,1.625,1.5,1.5,1.5,1,2.125,1.625,1.25,1.75,1.625,1.75,1.5
17/02/2025,1.625,1.5,1.25,1.625,1.625,1.5,1.75,1.625,1.625,1.5,1.25,1.75,2.25,4.5,6.625,18.875,28.25,39.125,51.875,35,49,37.75,52,68.75,67.375,63.125,61.375,66.375,46.375,35,6.625,2.375,1.625,1.25,1.625,1.5,1.5,1.75,1.5,1.625,1.5,1.5,1.625,1.25,1.875,1.75,1.5,1.5
18/02/2025,1.25,1.625,1.375,1.625,1.625,1.625,1.5,1.25,1.75,1.375,1.625,1.75,3.375,9.75,24.375,42.125,64.125,60.875,84.125,86.875,90.125,92.5,86.75,76.125,86.75,75.5,41.125,49,39.625,26.375,13.375,3.625,1.625,1.625,1.375,1.5,1.625,1.625,1.375,1.625,1.625,1.5,1.625,1.5,1.5,1.375,1.75,1.375
19/02/2025,1.875,1.5,1.375,1.75,1.5,1.5,1.5,1.625,1.625,1.625,1.75,1.625,2.625,10.25,22.75,24.25,21.25,26.125,47.25,47.25,30.625,26.875,57.625,59,60.5,31.875,30.5,21,12.125,21.375,15.75,2.75,1.625,1.625,1.375,1.625,2,1.625,1.625,1.625,1.375,2,1.625,1.375,1.375,2.25,1.375,1.625
20/02/2025,1.75,1.75,1.625,1.75,1.625,1.75,1.75,1.625,1.375,1.5,1.75,1.5,2.125,2.125,2.125,3.625,3.25,6.5,5.875,13.5,16.625,10.75,12,14.875,13.375,8.5,12.625,5.625,7.25,4.875,2.125,1.75,1,1.125,1.25,1.25,1.25,1.25,1.625,1,1.25,1.125,1.5,1.75,1.75,1.625,1.625,1.625
21/02/2025,1.5,1.75,1.25,1.5,1.5,1.5,1.625,1.5,1.5,1.625,1.5,1.625,2.375,3.25,10.625,10.75,28.875,36.375,27.25,29.25,19.875,31.125,29.25,45.875,20.625,20.875,8.875,7.25,4.375,2.5,1.625,2,1.625,1.5,1.625,1.125,1.625,1.625,1.625,1.75,1.625,1.75,1.625,1.75,1.625,1.625,1.625,1.625
22/02/2025,1.875,1.625,1.75,1.625,1.375,2,1.625,1.75,1.625,1.75,1.625,1.625,2.375,3.5,5.75,4.5,18.125,22.625,26.25,39.875,36.75,52.125,61.25,71.25,101.5,91.75,79.625,67.625,50.25,34.375,18.125,5.125,2.25,1.75,1.625,1.625,1.625,1.75,1.625,1.75,1.625,1.625,1.375,1.875,1.625,1.625,1.75,1.625
23/02/2025,1.75,1.375,2,1.625,2,1.625,1.625,1.625,1.625,1.625,1.625,2.625,9.125,11.25,14.625,28.75,26,25.75,38.5,51.625,49.25,46.75,51.625,41.625,28.75,14.75,15,6.375,4.125,3,1.5,1.25,1.125,1.25,1.25,1.125,1,0.75,1.125,1.125,1,1.125,1.125,1.125,0.875,1.25,1.125,1.125
24/02/2025,1.125,1.125,1.25,1.125,1.125,1.25,1.125,0.875,2.125,1.625,1.75,1.75,2,2.75,8.5,13.125,15.625,17.75,17.875,15,54.375,69.625,115.75,108,110,70,98,71.875,54.125,39,20.375,6.25,1.875,1.75,1.75,1.375,1.375,2.25,1.75,1.625,1.625,1.75,1.625,1.375,2,1.625,1.625,1.75
25/02/2025,1.625,1.625,1.75,1.625,1.75,1.75,1.375,1.125,2.125,1.375,1.875,1.625,2.5,6.625,13,26,26.625,28.75,48.875,74.375,87.25,85.75,78.625,90.375,59.375,53.25,85.25,93.25,68.5,50.25,24,8.375,2,1.625,1.75,1.625,1.625,1.625,1.125,1.75,1.375,1.625,2,1.625,1.75,1.625,1.875,1.625
